Index;Los PJs deben;objeto;personaje;complicación;Protagonista;Desea;enemigo;Enfrenta;Necesita;Al final;lugar;objeto;adj;adj2;Medieval - Taberna - Nombre;Medieval - Taberna - Adjetivo;Comida 1;Comida 2;Comida 3;bebida 1;bebida 2;Trampas - Elemento;Trampas - Acción;Trampas - Desencadenante;PNJ profesion;PNJ Origen;PNJ Carácter;PNJ Aspecto;PNJ Especial;Medieval - Personaje;Medieval - Acción;Medieval - Lugar;Medieval - Objeto;Medieval - Evento;Medieval - Criatura;Medieval - Organización;Dungeon - Objeto;Dungeon - Evento;Dungeon - tipo;símbolo - obj;escudo - color;escudo - campo;símbolo - color;Trama PNJ 1;Trama PNJ 2;deidad - ambitos;deidad - adorador;deidad - sacerdotes;deidad - ritos;deidad-arquitectura;poción - textura;poción - tipo;poción - efecto secundario;lugar - color;lugar - ref;lugar - nom;Objeto -accion;Objeto -sujeto
193;;;;;;;;;;;;;;;La cítara;;;;;;;;;;;;irritable;;silba contínuamente;Sirviente;Salvar;Tienda;Víveres;Terremoto;;;un círculo mágico;;sala de sacrificios;un hada;;;;un superviviente;quiere resucitar a;sadismo;;;;;;;;;del señor;;;
194;;;;;;;;;;;;;;;La cocatriz;;;;;;;;;;;;jovial;;sisea;Socio;Sanar;Torre;Yelmo;Timo;;;espejos;;patio de armas;un ent;;;;un tabernero;quiere robar a;diablos;;;;;;;;;de la señora;;;
195;;;;;;;;;;;;;;;La colina;;;;;;;;;;;;juicioso;;su fe se tambalea;Soldado;Saquear;Tumba;;Toque de queda;;;botellas;;tocador;una esfera;;;;un terrateniente;quiere sacrificar a;demonios;;;;;;;;;de la dama;;;
196;;;;;;;;;;;;;;;La copa;;;;;;;;;;;;lacónico;;su negocio se va a pique;Sultán;Secuestrar;Túmulo;;Tormenta;;;tarros;;sala de belleza;un cubo;;;;un testigo;quiere salvar a;sierpes;;;;;;;;;del escudero;;;
197;;;;;;;;;;;;;;;La copa;;;;;;;;;;;;lastimero;;suele blasfemar;Sumo sacerdote;Seguir;Túnel;;Torneo;;;frascos;;cuarto de tortura;un cuadrado;;;;un tíflin;quiere saquear el pueblo de;serpientes;;;;;;;;;del caballo;;;
198;;;;;;;;;;;;;;;La corona;;;;;;;;;;;;legal;;"suele decir: ""¡no puede ser cierto!""";Superviviente;Sellar;Vado;;Trampa;;;utensilios de alquimia;;sala de torturas;un pentágono;;;;un timador;quiere las tierras de;arañas;;;;;;;;;del toro;;;
199;;;;;;;;;;;;;;;La cripta;;;;;;;;;;;;lenguaraz;;"suele decir: ""¡viva el rey!""";Tabernero;Sembrar;Valle;;Travesía;;;un tocador;;sala de justicia;una runa;;;;un torturador;quiere la bancarrota de;escorpiones;;;;;;;;;del basilisco;;;
200;;;;;;;;;;;;;;;La cuchara;;;;;;;;;;;;lento;;"suele decir: ""¿cómo dices?""";Terrateniente;Sentenciar;Villa;;Tributo;;;una camilla;;tribunal;un anagrama;;;;un traidor;quiere las posesiones de;veneno;;;;;;;;;del cieno;;;
201;;;;;;;;;;;;;;;La cuerda;;;;;;;;;;;;lisonjero;;"suele decir: ""¿has oído eso?""";Testigo;Sobrevivir;Volcán;;Turba;;;una cama;;sala de ajusticiamiento;una letra;;;;un trampero;desea a la pareja de;enfermedad;;;;;;;;;de barro;;;
202;;;;;;;;;;;;;;;La cueva;;;;;;;;;;;;locuaz;;"suele decir: ""¿no sabes con quién estás hablando?""";Tíflin;Soñar;Vórtice;;Vacío de poder;;;un camastro;;sala de interrogatorios;un glifo;;;;un trotamundos;funda una secta junto a;putrefacción;;;;;;;;;de plomo;;;
203;;;;;;;;;;;;;;;La cumbre;;;;;;;;;;;;lujurioso;;"suele decir: ""¿tienes una moneda?""";Timador;Sumergir;Zigurat;;Velatorio;;;una horca;;corredor de la muerte;un símbolo;;;;un usurero;funda un gremio junto a;sabandijas;;;;;;;;;de la luz;;;
204;;;;;;;;;;;;;;;La daga;;;;;;;;;;;;mal genio;;"suele decir: ""¿tu nombre era…?""";Torturador;Talar;;;Ventisca;;;una guillotina;;ala de sacrificios;un número;;;;un usurpador;llega tarde a una cita con;licantropía;;;;;;;;;de la oscuridad;;;
205;;;;;;;;;;;;;;;La doncella;;;;;;;;;;;;mal hablado;;"suele decir: ""esto me huele muy mal""";Traidor;Tejer;;;Verano;;;unas cadenas;;cercado;una oreja;;;;un vagabundo;quiere convertirse en;odio;;;;;;;;;de la magia;;;
206;;;;;;;;;;;;;;;La dríada;;;;;;;;;;;;maleducado;;suele encogerse de hombros;Trampero;Teleportar;;;Verbena;;;unas poleas;;campo;un pendiente;;;;un vasallo;ha sido polimorfado en;soberbia;;;;;;;;;del poder;;;
207;;;;;;;;;;;;;;;La empanada;;;;;;;;;;;;malhumorado;;sueña con el futuro;Trotamundos;Traicionar;;;Viaje;;;un barril de comida;;cultivo;un hexágono;;;;un verdugo;quiere usurpar la posición de;narcisismo;;;;;;;;;de la debilidad;;;
208;;;;;;;;;;;;;;;La escalera;;;;;;;;;;;;malicioso;;sufre aracnofobia;Usurero;Transformar;;;Victoria;;;una caja de víveres;;terraza;un heptágono;;;;un viajero;quiere comprar algo en posesión de;nobleza;;;;;;;;;de la tristeza;;;
209;;;;;;;;;;;;;;;La escudilla;;;;;;;;;;;;manazas;;sufre de alucinaciones ocasionales;Usurpador;Transportar;;;Visita diplomática;;;una alacena;;taller;un octógono;;;;un vidente;duda si vender algo a;paciencia;;;;;;;;;del adiós;;;
210;;;;;;;;;;;;;;;La espada;;;;;;;;;;;;mandón;;sufre de doble personalidad;Vagabundo;Trasladar;;;;;;una mesa de comedor;;faro;un eneágono;;;;un vigía;vendió algo a;ira;;;;;;;;;del regalo;;;
211;;;;;;;;;;;;;;;La especia;;;;;;;;;;;;marrullera;;sufre insomnio;Vasallo;Usurpar;;;;;;un sofá;;camarote;un polígono;;;;un visir;regaló algo a;justo castigo;;;;;;;;;del presente;;;
212;;;;;;;;;;;;;;;La espuela;;;;;;;;;;;;melancólico;;sufre jaquecas;Verdugo;Vaciar;;;;;;una butaca;;camarín;un poliedro;;;;un aprendiz;recibió algo de;competición;;;;;;;;;del pasado;;;
213;;;;;;;;;;;;;;;La estrella;;;;;;;;;;;;mentiroso;;sufre una extraña enfermedad;Viajero;Vagar;;;;;;un taburete;;cadalso;un tetraedro;;;;una mujer;recibió un regalo de;deporte;;;;;;;;;del futuro;;;
214;;;;;;;;;;;;;;;La falda;;;;;;;;;;;;meticuloso;;sufre undefecto de pronunciación;Vidente;Vender;;;;;;migas de pan;;barbacana;un pergamino;;;;una esposa;vendió a;fuerza;;;;;;;;;del oráculo;;;
215;;;;;;;;;;;;;;;La flauta;;;;;;;;;;;;mezquino;;sufrió una tragedia familiar;Vigía;Viajar;;;;;;pan rancio;;vestíbulo;una sandía;;;;una concubina;compró como esclavo a;agilidad;;;;;;;;;de los sueños;;;
216;;;;;;;;;;;;;;;La flecha;;;;;;;;;;;;narcisista;;tartamudea;Visir;Volar;;;;;;unas plumas;;;una calabaza;;;;una amante;quiere esclarecer un crimen sobre;destreza;;;;;;;;;de la doncella;;;
217;;;;;;;;;;;;;;;La fritura;;;;;;;;;;;;nervioso;;teme que le roben;Aprendiz;;;;;;;una almohada;;;una pera;;;;un villano;;misericordia;;;;;;;;;del heredero;;;
218;;;;;;;;;;;;;;;La fruta;;;;;;;;;;;;neurótico;;tiene acento extranjero;Mujer;;;;;;;cubiertos;;;una zanahoria;;;;un burgomaestre;;perdón;;;;;;;;;de los pesares;;;
219;;;;;;;;;;;;;;;La fusta;;;;;;;;;;;;noble;;tiene algún prejuicio;Esposa;;;;;;;tazas;;;un conejo;;;;un maestre;;conquista;;;;;;;;;de la añoranza;;;
220;;;;;;;;;;;;;;;La ganzúa;;;;;;;;;;;;observador;;tiene alma de bardo;Concubina;;;;;;;copas;;;una liebre;;;;un maestro;;esclavitud;;;;;;;;;de la compasión;;;
221;;;;;;;;;;;;;;;La gema;;;;;;;;;;;;obstinado;;tiene alma de comerciante;Amante;;;;;;;vasos;;;un chacal;;;;un rebelde;;liberación;;;;;;;;;de la guerra;;;
222;;;;;;;;;;;;;;;La gruta;;;;;;;;;;;;ocurrente;;tiene andares elásticos;Villano;;;;;;;platos;;;un camello;;;;un hechicero;;sosiego;;;;;;;;;de la victoria;;;
223;;;;;;;;;;;;;;;La guadaña;;;;;;;;;;;;olvidadizo;;tiene antecedentes militares;Burgomaestre;;;;;;;fuentes;;;un elefante;;;;una hechicera;;calma;;;;;;;;;de la derrota;;;
224;;;;;;;;;;;;;;;La guarida;;;;;;;;;;;;optimista;;tiene debilidad por el sexo opuesto;Maestre;;;;;;;cuencos;;;un león;;;;una bruja;;paz;;;;;;;;;de la conquista;;;
225;;;;;;;;;;;;;;;La harina;;;;;;;;;;;;ordenado;;tiene dientes de menos;Maestro;;;;;;;un tintero;;;un lagarto;;;;una saga;;hambre;;;;;;;;;del recuerdo;;;
226;;;;;;;;;;;;;;;La hidra;;;;;;;;;;;;orgulloso;;tiene fobia a algo;Drow;;;;;;;una carta;;;una medusa;;;;un ilícido;;austeridad;;;;;;;;;de la rebelión;;;
227;;;;;;;;;;;;;;;La hierba;;;;;;;;;;;;pacífico;;tiene la mirada perdida;Príncipe Elfo;;;;;;;una misiva;;;un centauro;;;;un dragón;;vanidad;;;;;;;;;de los esclavos;;;
228;;;;;;;;;;;;;;;La hogaza;;;;;;;;;;;;palurdo;;tiene mal aliento;Rey Enano;;;;;;;un pergamino;;;un buitre;;;;un drow;;humildad;;;;;;;;;del honor;;;
229;;;;;;;;;;;;;;;La honda;;;;;;;;;;;;paranoico;;tiene manos temblorosoas;General Enano;;;;;;;una nota;;;un azor;;;;un contemplador;;sencillez;;;;;;;;;de la libertad;;;
230;;;;;;;;;;;;;;;La hoz;;;;;;;;;;;;peleón;;tiene parásitos;Mediano;;;;;;;un panfleto;;;una gaviota;;;;un rey elfo;;esfuerzo;;;;;;;;;de la liberación;;;
231;;;;;;;;;;;;;;;La infusión;;;;;;;;;;;;pendenciero;;tiene sed de venganza;Gnomo;;;;;;;un aviso;;;un pez espada;;;;un príncipe elfo;;trampa;;;;;;;;;de la gloria;;;
232;;;;;;;;;;;;;;;La jabalina;;;;;;;;;;;;perezoso;;tiene un acento gracioso;Saqueador;;;;;;;una señal;;;un salmón;;;;un rey enano;;engaño;;;;;;;;;del campeón;;;
233;;;;;;;;;;;;;;;La jarra;;;;;;;;;;;;perfeccionista;;tiene un aliento fétido;Mercenario;;;;;;;una marca;;;una trucha;;;;un general enano;;decepción;;;;;;;;;del sacerdote;;;
234;;;;;;;;;;;;;;;La joya;;;;;;;;;;;;perseverante;;tiene un andar peculiar;Bucanero;;;;;;;una advertencia;;;una carpa;;;;un mediano;;sombras;;;;;;;;;del ermitaño;;;
235;;;;;;;;;;;;;;;La judía;;;;;;;;;;;;perspicaz;;tiene un don con los animales;Cambiaformas;;;;;;;manchas de sangre;;;una tienda;;;;un gnomo;;ocultismo;;;;;;;;;del topo;;;
236;;;;;;;;;;;;;;;La lanza;;;;;;;;;;;;pertinaz;;tiene un extraño don mágico;Joyero;;;;;;;un ara;;;un telar;;;;un hada;;secretismo;;;;;;;;;del escarabajo;;;
237;;;;;;;;;;;;;;;La lápida;;;;;;;;;;;;pesimista;;tiene un gemelo malvado;Bardo;;;;;;;una fogata;;;una rueca;;;;un genio;;novedad;;;;;;;;;del faraón;;;
238;;;;;;;;;;;;;;;La lechuga;;;;;;;;;;;;petimetre;;tiene un grupo de seguidores;Actor;;;;;;;un fuego improvisado;;;un pozo;;;;un diablo;;creación;;;;;;;;;del sha;;;
239;;;;;;;;;;;;;;;La lengua;;;;;;;;;;;;piadoso;;tiene un hijo bastardo;Intérprete;;;;;;;un campamento;;;unas grebas;;;;un demonio;;matrimonio;;;;;;;;;del emir;;;
240;;;;;;;;;;;;;;;La lira;;;;;;;;;;;;pícaro;;tiene un hobby característico (pesca, caza…);Saqueador de tumbas;;;;;;;una tienda;;;un rostro;;;;un ángel;;mentira;;;;;;;;;del sultán;;;
241;;;;;;;;;;;;;;;La lluvia;;;;;;;;;;;;polemista;;tiene un objeto único;Ilusionista;;;;;;;un saco de dormir;;;una máscara;;;;un aasimar;;traición;;;;;;;;;de la vela;;;
242;;;;;;;;;;;;;;;La mansión;;;;;;;;;;;;práctico;;tiene un olor corporal intenso;Conjurador;;;;;;;harina;;;un racimo de uvas;;;;un deva;;decencia;;;;;;;;;de la cuchara;;;
243;;;;;;;;;;;;;;;La manta;;;;;;;;;;;;preguntón;;tiene un peinado extraño;Emisario;;;;;;;cereal;;;;;;;un modrón;;castidad;;;;;;;;;del cuenco;;;
244;;;;;;;;;;;;;;;La manzana;;;;;;;;;;;;prepotente;;tiene un sueño recurrente;;;;;;;;vino barato;;;;;;;un planodeudo;;templanza;;;;;;;;;del tenedor;;;
245;;;;;;;;;;;;;;;La maza;;;;;;;;;;;;presumido;;tiene un talismán o fetiche;;;;;;;;vino de buena calidad;;;;;;;un semidemonio;;virtud;;;;;;;;;de la daga;;;
246;;;;;;;;;;;;;;;La mazmorra;;;;;;;;;;;;presuntuoso;;tiene un tatuaje especial;;;;;;;;cerveza;;;;;;;un saqueador;;independencia;;;;;;;;;del laúd;;;
247;;;;;;;;;;;;;;;La moneda;;;;;;;;;;;;pródigo;;tiene un tic nervioso;;;;;;;;una pintura;;;;;;;un mercenario;;soledad;;;;;;;;;del arpa;;;
248;;;;;;;;;;;;;;;La montaña;;;;;;;;;;;;prudente;;tiene una enfermedad desagradable;Vampiro;;;;;;;un fresco;;;;;;;un bucanero;;azar;;;;;;;;;de la manzana;;;
249;;;;;;;;;;;;;;;La morada;;;;;;;;;;;;pulcro;;tiene una marca de nacimiento;Noble;;;;;;;tapices;;;;;;;un cambiaformas;;entrenamiento;;;;;;;;;del ciervo;;;
250;;;;;;;;;;;;;;;La muerte;;;;;;;;;;;;pusilánime;;tiene una mascota;;;;;;;;una lámpara de pie;;;;;;;un joyero;;gemas;;;;;;;;;de la cereza;;;
251;;;;;;;;;;;;;;;La nave;;;;;;;;;;;;rácano;;tiene una misión que cumplir;;;;;;;;antorchas;;;;;;;un bardo;;vigilancia;;;;;;;;;de la naranja;;;
252;;;;;;;;;;;;;;;La niebla;;;;;;;;;;;;racista;;tiene una tos seca;;;;;;;;una cúpula;;;;;;;un actor;;violación;;;;;;;;;de la calabaza;;;
253;;;;;;;;;;;;;;;La nieve;;;;;;;;;;;;realista;;tiene vértigo;;;;;;;;hierbajos;;;;;;;un intérprete;;;;;;;;;;;de la cebolla;;;
254;;;;;;;;;;;;;;;La ninfa;;;;;;;;;;;;rebelde;;tuerto;;;;;;;;un casco;;;;;;;un saqueador de tumbas;;;;;;;;;;;de la patata;;;
255;;;;;;;;;;;;;;;La olla;;;;;;;;;;;;reflexivo;;va siempre perfumado;;;;;;;;un arma;;;;;;;un ilusionista;;;;;;;;;;;del tomate;;;
256;;;;;;;;;;;;;;;La oreja;;;;;;;;;;;;reformista;;ve conspiraciones en todas partes;;;;;;;;un yunque;;;;;;;un conjurador;;;;;;;;;;;de la lechuga;;;
257;;;;;;;;;;;;;;;La oveja;;;;;;;;;;;;relamido;;viene de un linaje proscrito;;;;;;;;algunas herramientas;;;;;;;un emisario;;;;;;;;;;;del guisante;;;
258;;;;;;;;;;;;;;;La pala;;;;;;;;;;;;reservado;;vive al margen de la ley;;;;;;;;una alarma;;;;;;;un fantasma;;;;;;;;;;;;;;
259;;;;;;;;;;;;;;;La palanca;;;;;;;;;;;;retraído;;vive un amor prohibido;;;;;;;;unas sábanas;;;;;;;un espíritu;;;;;;;;;;;;;;
260;;;;;;;;;;;;;;;La patata;;;;;;;;;;;;reverente;;vivió una relación incestuosa;;;;;;;;un cofre;;;;;;;un espectro;;;;;;;;;;;;;;
261;;;;;;;;;;;;;;;La pera;;;;;;;;;;;;riguroso;;vivió una relación que mantiene en secreto;;;;;;;;un baúl;;;;;;;un liche;;;;;;;;;;;;;;
262;;;;;;;;;;;;;;;La piedra;;;;;;;;;;;;sabelotodo;;se encuentra en una misión;;;;;;;;un arcón;;;;;;;un vampiro;;;;;;;;;;;;;;
263;;;;;;;;;;;;;;;La pimienta;;;;;;;;;;;;sabihondo;;busca aventureros;;;;;;;;un escudo;;;;;;;un noble;;;;;;;;;;;;;;
264;;;;;;;;;;;;;;;La pluma;;;;;;;;;;;;sabio;;recibió una herencia hace poco;;;;;;;;un joyero;;;;;;;;;;;;;;;;;;;;;
265;;;;;;;;;;;;;;;La polea;;;;;;;;;;;;sacrificado;;llora con cualquier cosa;;;;;;;;unos cajones;;;;;;;;;;;;;;;;;;;;;
266;;;;;;;;;;;;;;;La posada;;;;;;;;;;;;sádico;;;;;;;;;;un banco;;;;;;;;;;;;;;;;;;;;;
267;;;;;;;;;;;;;;;La puerta;;;;;;;;;;;;sagaz;;;;;;;;;;un asiento;;;;;;;;;;;;;;;;;;;;;
268;;;;;;;;;;;;;;;La puta;;;;;;;;;;;;sarcástico;;;;;;;;;;una lanza;;;;;;;;;;;;;;;;;;;;;
269;;;;;;;;;;;;;;;La rana;;;;;;;;;;;;segundón;;;;;;;;;;una saca;;;;;;;;;;;;;;;;;;;;;
270;;;;;;;;;;;;;;;La rata;;;;;;;;;;;;serio;;;;;;;;;;una valla;;;;;;;;;;;;;;;;;;;;;
271;;;;;;;;;;;;;;;La reina;;;;;;;;;;;;servicial;;;;;;;;;;una verja;;;;;;;;;;;;;;;;;;;;;
272;;;;;;;;;;;;;;;La rueda;;;;;;;;;;;;servil;;;;;;;;;;unos tomates;;;;;;;;;;;;;;;;;;;;;
273;;;;;;;;;;;;;;;La ruleta;;;;;;;;;;;;severo;;;;;;;;;;unas manzanas;;;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;;;;La sábana;;;;;;;;;;;;simpático;;;;;;;;;;ratas;;;;;;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;;La sal;;;;;;;;;;;;simplón;;;;;;;;;;lagartijas;;;;;;;;;;;;;;;;;;;;;
276;;;;;;;;;;;;;;;La sal;;;;;;;;;;;;sin sentido común;;;;;;;;;;una lápida;;;;;;;;;;;;;;;;;;;;;
277;;;;;;;;;;;;;;;La salchicha;;;;;;;;;;;;soberbio;;;;;;;;;;un ataúd;;;;;;;;;;;;;;;;;;;;;
278;;;;;;;;;;;;;;;La sartén;;;;;;;;;;;;sobrio;;;;;;;;;;una luz mágica;;;;;;;;;;;;;;;;;;;;;
279;;;;;;;;;;;;;;;La serpiente;;;;;;;;;;;;socarrón;;;;;;;;;;un estrado;;;;;;;;;;;;;;;;;;;;;
280;;;;;;;;;;;;;;;La silla de montar;;;;;;;;;;;;sociable;;;;;;;;;;un trono;;;;;;;;;;;;;;;;;;;;;
281;;;;;;;;;;;;;;;La soga;;;;;;;;;;;;soez;;;;;;;;;;una silla;;;;;;;;;;;;;;;;;;;;;
282;;;;;;;;;;;;;;;La sopa;;;;;;;;;;;;sofisticado;;;;;;;;;;una baraja;;;;;;;;;;;;;;;;;;;;;
283;;;;;;;;;;;;;;;La tarta ;;;;;;;;;;;;sombrío;;;;;;;;;;unas tabas;;;;;;;;;;;;;;;;;;;;;
284;;;;;;;;;;;;;;;La taza;;;;;;;;;;;;soñador;;;;;;;;;;un espejo;;;;;;;;;;;;;;;;;;;;;
285;;;;;;;;;;;;;;;La tienda;;;;;;;;;;;;soñoliento;;;;;;;;;;un cajón;;;;;;;;;;;;;;;;;;;;;
286;;;;;;;;;;;;;;;La torre;;;;;;;;;;;;soso;;;;;;;;;;alfombras;;;;;;;;;;;;;;;;;;;;;
287;;;;;;;;;;;;;;;La tumba;;;;;;;;;;;;sospechoso;;;;;;;;;;unas pieles;;;;;;;;;;;;;;;;;;;;;
288;;;;;;;;;;;;;;;La túnica;;;;;;;;;;;;sucio;;;;;;;;;;un caldero;;;;;;;;;;;;;;;;;;;;;
289;;;;;;;;;;;;;;;La vaca;;;;;;;;;;;;sumiso;;;;;;;;;;una marmita;;;;;;;;;;;;;;;;;;;;;
290;;;;;;;;;;;;;;;La varita;;;;;;;;;;;;susceptible;;;;;;;;;;un desagüe;;;;;;;;;;;;;;;;;;;;;
291;;;;;;;;;;;;;;;La vela;;;;;;;;;;;;suspizaz;;;;;;;;;;un pozo;;;;;;;;;;;;;;;;;;;;;
292;;;;;;;;;;;;;;;La ventana;;;;;;;;;;;;tacaño;;;;;;;;;;una jardinera;;;;;;;;;;;;;;;;;;;;;
293;;;;;;;;;;;;;;;La verdura;;;;;;;;;;;;taciturno;;;;;;;;;;una escultura;;;;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;;;;Las riendas;;;;;;;;;;;;tarambana;;;;;;;;;;estatuas;;;;;;;;;;;;;;;;;;;;;
295;;;;;;;;;;;;;;;Las uvas;;;;;;;;;;;;temerario;;;;;;;;;;un mural;;;;;;;;;;;;;;;;;;;;;
296;;;;;;;;;;;;;;;El buey;;;;;;;;;;;;temperamental;;;;;;;;;;lava;;;;;;;;;;;;;;;;;;;;;
297;;;;;;;;;;;;;;;El minotauro;;;;;;;;;;;;tenaz;;;;;;;;;;goteras;;;;;;;;;;;;;;;;;;;;;
298;;;;;;;;;;;;;;;La mantícora;;;;;;;;;;;;testarudo;;;;;;;;;;humedades;;;;;;;;;;;;;;;;;;;;;
299;;;;;;;;;;;;;;;La sepia;;;;;;;;;;;;tierno;;;;;;;;;;baldosines;;;;;;;;;;;;;;;;;;;;;
300;;;;;;;;;;;;;;;El pulpo;;;;;;;;;;;;tímido;;;;;;;;;;un mosaico;;;;;;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;;;;El kraken;;;;;;;;;;;;titubeante;;;;;;;;;;ventanas;;;;;;;;;;;;;;;;;;;;;
302;;;;;;;;;;;;;;;El calamar;;;;;;;;;;;;tolerante;;;;;;;;;;arpilleras;;;;;;;;;;;;;;;;;;;;;
303;;;;;;;;;;;;;;;El ciervo;;;;;;;;;;;;tontorrón;;;;;;;;;;un catalejo;;;;;;;;;;;;;;;;;;;;;
304;;;;;;;;;;;;;;;El oso;;;;;;;;;;;;torpe;;;;;;;;;;moscas;;;;;;;;;;;;;;;;;;;;;
305;;;;;;;;;;;;;;;El juglar;;;;;;;;;;;;tosco;;;;;;;;;;un cable;;;;;;;;;;;;;;;;;;;;;
306;;;;;;;;;;;;;;;El bufón;;;;;;;;;;;;traicionero;;;;;;;;;;un acertijo;;;;;;;;;;;;;;;;;;;;;
307;;;;;;;;;;;;;;;;;;;;;;;;;;;tramposo;;;;;;;;;;unos versículos;;;;;;;;;;;;;;;;;;;;;
308;;;;;;;;;;;;;;;;;;;;;;;;;;;trapicheador;;;;;;;;;;un calendario;;;;;;;;;;;;;;;;;;;;;
309;;;;;;;;;;;;;;;;;;;;;;;;;;;tratable;;;;;;;;;;un mapa;;;;;;;;;;;;;;;;;;;;;
310;;;;;;;;;;;;;;;;;;;;;;;;;;;tristón;;;;;;;;;;una gárgola;;;;;;;;;;;;;;;;;;;;;
311;;;;;;;;;;;;;;;;;;;;;;;;;;;trotamundos;;;;;;;;;;una cuerda;;;;;;;;;;;;;;;;;;;;;
312;;;;;;;;;;;;;;;;;;;;;;;;;;;vacilante;;;;;;;;;;una soga;;;;;;;;;;;;;;;;;;;;;
313;;;;;;;;;;;;;;;;;;;;;;;;;;;vago;;;;;;;;;;una rueda;;;;;;;;;;;;;;;;;;;;;
314;;;;;;;;;;;;;;;;;;;;;;;;;;;valeroso;;;;;;;;;;una rueca;;;;;;;;;;;;;;;;;;;;;
315;;;;;;;;;;;;;;;;;;;;;;;;;;;valiente;;;;;;;;;;un montón de paja;;;;;;;;;;;;;;;;;;;;;
316;;;;;;;;;;;;;;;;;;;;;;;;;;;veleidoso;;;;;;;;;;un árbol;;;;;;;;;;;;;;;;;;;;;
317;;;;;;;;;;;;;;;;;;;;;;;;;;;vengativo;;;;;;;;;;un montón de leña;;;;;;;;;;;;;;;;;;;;;
318;;;;;;;;;;;;;;;;;;;;;;;;;;;veraz;;;;;;;;;;un tocón;;;;;;;;;;;;;;;;;;;;;
319;;;;;;;;;;;;;;;;;;;;;;;;;;;vergonzoso;;;;;;;;;;una barra;;;;;;;;;;;;;;;;;;;;;
320;;;;;;;;;;;;;;;;;;;;;;;;;;;violento;;;;;;;;;;un botellero;;;;;;;;;;;;;;;;;;;;;
321;;;;;;;;;;;;;;;;;;;;;;;;;;;vivaracho;;;;;;;;;;un fogón;;;;;;;;;;;;;;;;;;;;;
322;;;;;;;;;;;;;;;;;;;;;;;;;;;voluntarioso;;;;;;;;;;un torno;;;;;;;;;;;;;;;;;;;;;
323;;;;;;;;;;;;;;;;;;;;;;;;;;;llorón;;;;;;;;;;unos grilletes;;;;;;;;;;;;;;;;;;;;;
324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;unas aldabas;;;;;;;;;;;;;;;;;;;;;
325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;unas almenas;;;;;;;;;;;;;;;;;;;;;
326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;una almenara;;;;;;;;;;;;;;;;;;;;;
327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;un ánfora;;;;;;;;;;;;;;;;;;;;;
328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
